0
239 64; clock time = 6.737e-06

239 128; clock time = 1.928e-06

239 1024; clock time = 1.7049e-05

239 16384; clock time = 0.000365269

239 32768; clock time = 0.0006366

239 131072; clock time = 0.00243332

239 1048576; clock time = 0.0157707

239 16777216; clock time = 0.21111

239 33554432; clock time = 0.405385


1
479 64; clock time = 7.6003e-05

479 128; clock time = 4.427e-06

479 1024; clock time = 2.2086e-05

479 16384; clock time = 0.000331803

479 32768; clock time = 0.000579994

479 131072; clock time = 0.00229443

479 1048576; clock time = 0.0163699

479 16777216; clock time = 0.246283

479 33554432; clock time = 0.492246


2
962 64; clock time = 9.9891e-05

962 128; clock time = 0.000527832

962 1024; clock time = 0.00245651

962 16384; clock time = 0.000617135

962 32768; clock time = 0.00104194

962 131072; clock time = 0.00326792

962 1048576; clock time = 0.0305206

962 16777216; clock time = 0.387454

962 33554432; clock time = 0.751851


3
1940 64; clock time = 0.00207078

1940 128; clock time = 0.00264115

1940 1024; clock time = 0.00214303

1940 16384; clock time = 0.000811792

1940 32768; clock time = 0.00170518

1940 131072; clock time = 0.00498997

1940 1048576; clock time = 0.0466349

1940 16777216; clock time = 0.6406

1940 33554432; clock time = 1.26419


4
3944 64; clock time = 0.00608817

3944 128; clock time = 0.00441032

3944 1024; clock time = 0.00544933

3944 16384; clock time = 0.00361988

3944 32768; clock time = 0.00162726

3944 131072; clock time = 0.00723599

3944 1048576; clock time = 0.0729045

3944 16777216; clock time = 1.25639

3944 33554432; clock time = 2.34922


5
8144 64; clock time = 0.0168943

8144 128; clock time = 0.00897278

8144 1024; clock time = 0.024671

8144 16384; clock time = 0.00899875

8144 32768; clock time = 0.0163193

8144 131072; clock time = 0.0266883

8144 1048576; clock time = 0.196921

8144 16777216; clock time = 2.66482

8144 33554432; clock time = 5.14115


